식품군	식품명
채소류	"알로에"
채소류	"알팔파"
채소류	"양배추"
채소류	"양파"
채소류	"자색 양파"
채소류	"양하"
채소류	"어수리"
채소류	"음나무(엄나무)"
채소류	"엉겅퀴"
채소류	"여주(고야)"
채소류	"연근것"
채소류	"열대비름(아마란스)"
채소류	"열무"
채소류	"염교(락교)"
채소류	"영아자"
채소류	"오이"
채소류	"오이지"
채소류	"오크라"
채소류	"옥수수"
채소류	"우엉"
채소류	"울금"
채소류	"원추리"
채소류	"유채"
채소류	"잇꽃(홍화)"
채소류	"자운영"
채소류	"잔대"
채소류	"적양무"
채소류	"전호"
채소류	"제비쑥"
채소류	"조뱅이"
채소류	"줄나물"
채소류	"진달래꽃"
채소류	"질경이"
채소류	"참나물"
채소류	"참반디"
채소류	"참빗살나무"
채소류	"참죽나물(가죽나물)
채소류	"청경채"
채소류	"초석잠"
채소류	"총각무"
채소류	"취나물"
채소류	"치커리"
채소류	"케일"
채소류	"콜라비"
채소류	"콩나물"
채소류	"콩잎"
채소류	"토란대"
채소류	"토마토"
채소류	"방울토마토"
채소류	"토마토통조림"
채소류	"토스카노(잎브로콜리)"
채소류	"실파"
채소류	"쪽파"
채소류	"대파"
채소류	"파"
채소류	"파드득나물(삼엽채)"
채소류	"파슬리"
채소류	"파프리카"
채소류	"미니파프리카"
채소류	"피망"
채소류	"할라페뇨"
채소류	"해바라기싹싹"
채소류	"호박싹"
채소류	"호박잎"
채소류	"국수호박"
채소류	"늙은호박"
채소류	"단호박"
채소류	"애호박"
채소류	"쥬키니"
채소류	"차요테"
채소류	"호박즙"
채소류	"화살나무(홑잎)"
버섯류	"검은비늘버섯"
버섯류	"꽃송이버섯"
버섯류	"나도팽나무버섯"
버섯류	"노루궁뎅이버섯"
버섯류	"느타리버섯"
버섯류	"능이버섯(향버섯)"
버섯류	"동충하초"
버섯류	"만가닥버섯"
버섯류	"목이버섯"
버섯류	"밤버섯"
버섯류	"버들송이버섯"
버섯류	"뽕나무버섯"
버섯류	"상황버섯"
버섯류	"석이버섯"
버섯류	"송이버섯"
버섯류	"싸리버섯"
버섯류	"아위버섯"
버섯류	"애느타리버섯"
버섯류	"양송이버섯"
버섯류	"영지버섯"
버섯류	"잎새버섯"
버섯류	"큰느타리버섯(새송이버섯)"
버섯류	"팽이버섯"
버섯류	"포타벨라"
버섯류	"표고버섯"
버섯류	"풀버섯"
과일류	"감"
과일류	"곶감"
과일류	"구기자것"
과일류	"구아바"
과일류	"구즈베리"
과일류	"귤"
과일류	"귤통조림"
과일류	"금귤"
과일류	"꾸지뽕"
과일류	"다래"
과일류	"대추"
과일류	"대추야자"
과일류	"두리안"
과일류	"딸기것"
과일류	"딸기잼"
과일류	"라임"
과일류	"라임즙"
과일류	"라즈베리"
과일류	"람부탄"
과일류	"레몬"
과일류	"레몬즙"
과일류	"롱안"
과일류	"리치"
과일류	"마가목 열매"
과일류	"망고"
과일류	"망고스틴"
과일류	"매실"
과일류	"매실청"
과일류	"머루"
과일류	"멜론"
과일류	"모과"
과일류	"무화과"
과일류	"바나나"
과일류	"배"
과일류	"배즙"
과일류	"백향과(패션프루트)"
과일류	"버찌"
과일류	"복분자"
과일류	"복숭아"
과일류	"복숭아잼"
과일류	"블랙베리"
과일류	"블랙커런트"
과일류	"블루베리"
과일류	"블루베리잼"
과일류	"비파"
과일류	"사과"
과일류	"사과잼"
과일류	"산딸기"
과일류	"산수유"
과일류	"살구"
과일류	"살구잼"
과일류	"석류"
과일류	"소귀나무 열매"
과일류	"수박"
과일류	"애플수박"
과일류	"산자나무 열매(씨벅톤)"
과일류	"아떼모야"
과일류	"아로니아"
과일류	"아보카도"
과일류	"아세로라"
과일류	"앵두"
과일류	"엘더베리"
과일류	"오디"
과일류	"오렌지"
과일류	"오렴자(카람볼라)것"
과일류	"오미자"
과일류	"오미자청"
과일류	"올리브"
과일류	"용과"
과일류	"유자"
과일류	"으름"
과일류	"자두"
과일류	"자몽몽"
과일류	"잭프루트"
과일류	"참외"
과일류	"체리"
과일류	"크랜베리"
과일류	"키위"
과일류	"탱자"
과일류	"파인애플"
과일류	"파파야"
과일류	"포도"
과일류	"샤인머스캣"
과일류	"건포도"
과일류	"거봉봉"
과일류	"포도잼"
과일류	"포도즙"
과일류	"플럼코트"
과일류	"프루트샐러드"
과일류	"프루트펀치"
육류 및 그 제품	"거위고기"
육류 및 그 제품	"거위간"
육류 및 그 제품	"고래고기"
육류 및 그 제품	"꿩고기"
육류 및 그 제품	"닭고기"
육류 및 그 제품	"닭고기(전체)"
육류 및 그 제품	"닭고기(가슴)"
육류 및 그 제품	"닭고기(날개)"
육류 및 그 제품	"닭고기(다리)"
육류 및 그 제품	"닭고기(목)"
육류 및 그 제품	"닭고기(성계)"
육류 및 그 제품	"닭고기(영계)"
육류 및 그 제품	"닭고기(오골계)"
육류 및 그 제품	"닭고기(토종)"
육류 및 그 제품	"닭 부산물(간)"
육류 및 그 제품	"닭 부산물(모래주머니)"
육류 및 그 제품	"닭 부산물(심장)"
육류 및 그 제품	"닭 부산물(닭발)"
육류 및 그 제품	"닭 육수"
육류 및 그 제품	"닭뼈 육수"
육류 및 그 제품	"치킨너겟"
육류 및 그 제품	"돼지고기"
육류 및 그 제품	"돼지고기(갈비)"
육류 및 그 제품	"돼지고기(뒷다리)"
육류 및 그 제품	"돼지고기(도가지살)"
육류 및 그 제품	"돼지고기(홍두깨살)"
육류 및 그 제품	"돼지고기(등심)"
육류 및 그 제품	"돼지고기(목심)"
육류 및 그 제품	"돼지고기(사태)"
육류 및 그 제품	"돼지고기(삼겹살)"
육류 및 그 제품	"돼지고기(갈매기살)"
육류 및 그 제품	"돼지고기(등갈비)"
육류 및 그 제품	"돼지고기(삼겹살)"
육류 및 그 제품	"돼지고기(오돌삼겹)"
육류 및 그 제품	"돼지고기(토시살)"
육류 및 그 제품	"돼지고기(안심)"
육류 및 그 제품	"돼지고기(앞다리)"
육류 및 그 제품	"돼지고기(주걱살)"
육류 및 그 제품	"돼지고기(항정살)"
육류 및 그 제품	"돼지 부산물(간)"
육류 및 그 제품	"돼지 부산물(대장)"
육류 및 그 제품	"돼지 부산물(맹장)"
육류 및 그 제품	"돼지 부산물(머리고기)"
육류 및 그 제품	"돼지 부산물(비장)"
육류 및 그 제품	"돼지 부산물(곱창)"
육류 및 그 제품	"돼지 부산물(신장)"
육류 및 그 제품	"돼지 부산물(심장(염통))"
육류 및 그 제품	"돼지 부산물(오소리감투)"
육류 및 그 제품	"돼지 부산물(자궁)"
육류 및 그 제품	"돼지 부산물(족발)"
육류 및 그 제품	"돼지 부산물(직장)"
육류 및 그 제품	"돼지 부산물(췌장)"
육류 및 그 제품	"돼지 부산물(허파)"
육류 및 그 제품	"베이컨구운것"
육류 및 그 제품	"소시지"
육류 및 그 제품	"햄"
육류 및 그 제품	"런천미트햄"
육류 및 그 제품	"프레스햄"
육류 및 그 제품	"슬라이스햄"
육류 및 그 제품	"순대"
육류 및 그 제품	"포크커틀릿"
육류 및 그 제품	"말고기"
육류 및 그 제품	"메추리고기"
육류 및 그 제품	"멧돼지고기"
육류 및 그 제품	"소고기"
육류 및 그 제품	"소고기(갈비)"
육류 및 그 제품	"소고기(꽃갈비)"
육류 및 그 제품	"소고기(본갈비)"
육류 및 그 제품	"소고기(안창살)"
육류 및 그 제품	"소고기(제비추리)"
육류 및 그 제품	"소고기(참갈비)"
육류 및 그 제품	"소고기(토시살)"
육류 및 그 제품	"소고기(꽃등심살)"
육류 및 그 제품	"소고기(살치살)"
육류 및 그 제품	"소고기(아래등심살)"
육류 및 그 제품	"소고기(목심)"
육류 및 그 제품	"소고기(사태)"
육류 및 그 제품	"소고기(설도)"
육류 및 그 제품	"소고기(도가니살)"
육류 및 그 제품	"소고기(안심)"
육류 및 그 제품	"소고기(앞다리)"
육류 및 그 제품	"소고기(앞치마살)"
육류 및 그 제품	"소고기(업진살)"
육류 및 그 제품	"소고기(업진안살)"
육류 및 그 제품	"소고기(차돌박이)"
육류 및 그 제품	"소고기(치마살)"
육류 및 그 제품	"소고기(우둔살)"
육류 및 그 제품	"소고기(홍두깨살)"
육류 및 그 제품	"소고기(채끝)"
육류 및 그 제품	"소 부산물(간)"
육류 및 그 제품	"소 부산물(골)"
육류 및 그 제품	"소 부산물(꼬리)"
육류 및 그 제품	"소 부산물(선지(피))"
육류 및 그 제품	"소 부산물(소장(곱창))"
육류 및 그 제품	"소 부산물(신장)"
육류 및 그 제품	"소 부산물(심장)"
육류 및 그 제품	"소 부산물(양(위))"
육류 및 그 제품	"소 부산물(천엽)"
육류 및 그 제품	"소 부산물(허파)"
육류 및 그 제품	"소 부산물(혀)"
육류 및 그 제품	"소고기육포"
육류 및 그 제품	"양지국물"
육류 및 그 제품	"우족국물"
육류 및 그 제품	"양고기"
육류 및 그 제품	"어린양고기(갈비)"
육류 및 그 제품	"어린양고기(다리)"
육류 및 그 제품	"어린양고기(살코기)"
육류 및 그 제품	"어린양고기(어깨)"
육류 및 그 제품	"염소고기"
육류 및 그 제품	"오리고기"
육류 및 그 제품	"오리고기(훈제)"
육류 및 그 제품	"자라고기"
육류 및 그 제품	"칠면조고기"
육류 및 그 제품	"토끼고기"
난류	"거위알"
난류	"달걀"
난류	"삶은달걀"
난류	"달걀가루"
난류	"메추리알"
난류	"오리알"
어패류 및 그 제품	"가라지"
어패류 및 그 제품	"가물치"
어패류 및 그 제품	"가시망둑"
어패류 및 그 제품	"가오리"
어패류 및 그 제품	"가자미"
어패류 및 그 제품	"갈치"
어패류 및 그 제품	"갈치젓갈"
어패류 및 그 제품	"강달이젓갈"
어패류 및 그 제품	"게르치"
어패류 및 그 제품	"고등어"
어패류 및 그 제품	"괴도라치"
어패류 및 그 제품	"군평선이"
어패류 및 그 제품	"기름종개"
어패류 및 그 제품	"까나리"
어패류 및 그 제품	"까나리액젓"
어패류 및 그 제품	"꺽저기"
어패류 및 그 제품	"꼬치고기"
어패류 및 그 제품	"꼼치"
어패류 및 그 제품	"날치"
어패류 및 그 제품	"날치알"
어패류 및 그 제품	"납지리"
어패류 및 그 제품	"넙치(광어)"
어패류 및 그 제품	"네동가리"
어패류 및 그 제품	"노랑촉수"
어패류 및 그 제품	"노래미"
어패류 및 그 제품	"놀래기"
어패류 및 그 제품	"농어"
어패류 및 그 제품	"누치"
어패류 및 그 제품	"눈볼대"
어패류 및 그 제품	"능성어"
어패류 및 그 제품	"다금바리"
어패류 및 그 제품	"다랑어"
어패류 및 그 제품	"가다랑어 육수"
어패류 및 그 제품	"참치통조림"
어패류 및 그 제품	"다랑어"
어패류 및 그 제품	"달강어"
어패류 및 그 제품	"달고기"
어패류 및 그 제품	"대구"
어패류 및 그 제품	"대구(내장)"
어패류 및 그 제품	"대구알"
어패류 및 그 제품	"대구젓갈"
